text,date,rating,has_official_reply,reactions_total
"Күзетшілер өте дөрекі, мүлдем эмпатиясы жоқ , надан, тас жүрек, мәдениетсіз адамдар. Студенттермен де ата-аналармен де орынсыз сөйлейді.
Кішкене кеш шығатындай жағдай болып қалса, (шамамен 19:30) қолдарындағы фонарьмен адамның бетіне жарығын түсіріп, мазақ қылады. Студентті адам орнына санамайтын сияқты. Бұл күзетшілерге адамдармен қалай сөйлесу керектігі жайында тренинг-семинар өткізу керек деп ойлаймын.
Университет деген студенттердің білім алып жастық шақтарын өткізетін жер. “Театр гардеробтан басталады” демекші, университет қақпасынан осындай, адаммен сөйлесу мәнерін білмейтін күзетшілер қарсы алғаны, олардың әдепсіз қылықтары бүкіл атмосфераны құртады.",26 ноября 2025,1,True,0
Worm and comfy,24 ноября 2025,5,False,0
Жди меня,23 ноября 2025,5,False,0
Букил сендрвичти мына кыз тауысатын болды!!!,23 ноября 2025,5,False,5
2ГИС это классная карта ваще проблем нет куда ехать город не город там посёлок там дача всё можно найти,20 ноября 2025,5,False,1
Лучший универ,20 ноября 2025,5,False,1
"Я была в СДУ и осталась под большим впечатлением. Университет очень современный, уютный и хорошо организованный. Территория чистая, атмосфера спокойная и учебная. Особенно понравилось, что всё продумано для удобства студентов: просторные аудитории, комфортные зоны для отдыха и работы",19 ноября 2025,5,False,1
здравствуйте сду хороший университет такой большой университет но я потерял сына в сду его зовут роберт аян он такой бородатый и усатый и он похож на нурдаулета вообщем помогите найти его он потерялся после экзамена,17 ноября 2025,2,False,0
💋💋💋💋💋💋,16 ноября 2025,4,False,0
Сложно списать экзамены,15 ноября 2025,4,False,3
Мечта,15 ноября 2025,5,False,1
"Кезинде Директор общаганын Шохан деген Киси болган , намазханда , бирак тарбиесиз киси",14 ноября 2025,1,False,0
Хочу поступить 🙏🏻,13 ноября 2025,5,False,0
намана,11 ноября 2025,4,False,0
Бөлем оқиды осяқта,9 ноября 2025,5,False,0
😍😍,8 ноября 2025,5,False,0
"Arkadaşlar, kardeşler nasılsızlar",6 ноября 2025,5,False,13
Ұлым оқиды,3 ноября 2025,5,False,0
Окей,3 ноября 2025,5,False,0
"Я здесь работаю оператором котельной установки,(кочегар) короче.Универ хороший большой,общежития есть,фас фуд кофейня ,магазин,спортплощадки, футбол, волейбол, баскетбол,теннисные столы,штук пять,кстати в магазине и шарики и ракетки продаются к пинг понгу,концерты,дискотеки,конкурсы,учится одно удовольствие👍👍👍😊😊😊😊",2 ноября 2025,5,False,0
"Ради сду, я готова жертвовать всем что у меня есть, здоровье и так можно восстановить, надеюсь в 2026 я буду тут учиться, ради этого я сделаю все, так что ждите меня😏",2 ноября 2025,5,False,5
классный современный университеті,1 ноября 2025,5,False,0
Топ,31 октября 2025,5,False,0
Окымайм,28 октября 2025,5,False,0
Имба,28 октября 2025,5,False,0
Супер❤️,27 октября 2025,5,False,0
Айналайын❤️,27 октября 2025,5,False,0
"Мой любимый уни💓
Студ отдел фигня",26 октября 2025,5,False,0
💙,26 октября 2025,5,False,0
"Орта, орта деп қанды ішті. Неге универ істеріне дінді араластырасыздар? Ортаға кіретін студенттерге мұғалімдер басқаша қарайды. Көп дүниесіне көздерін жұмады, көтермелейді. Не сұмдық??! Адалдық болу қажет барлық жерде! Орта адамдары деп бөлектеп, бар жерде көтермелеп, соларды ғана іріктеп алуды тоқтатыңыздар!!!!!",26 октября 2025,1,False,7
😍😍😍,26 октября 2025,5,False,0
Не универ а чист здесь секта блин какая то для хизметчиков . Вы думаете что вы все такие правильные что ли ошибаетесь в 2 счета сломаетесь блин,24 октября 2025,1,False,2
"Учиться конечно тут тяжело , нагрузки высокие но и цена конечно бешенная . Не пошел на уроки тупо деньги сгорают оказывается , и штрафы тут растут . Месяц два не ходил , декан звонит. На отчисление и все .",23 октября 2025,1,False,0
Дата сайнс мұғалімдері деңгейі төмен,23 октября 2025,1,False,1
"Чушпански универ,Нархоз лучше",23 октября 2025,1,False,0
Әлемдегі ең күшті уник ежже,22 октября 2025,5,False,0
"Для работы в сду не самое хорошее место, зп pizdez мало . У меня все зп уходит только на дорогу , живу в сторону алмарасан пока спущусь доеду докаскелена. У меня уже пол бака нет , и каждый день по 10.000 заливаю 40 литров выходит бензин . Мне не выгодно .Почти я уволился обход делаю по всем документам. Ниче в городе найду по лучше",21 октября 2025,1,False,0
"кутип алындар, осы жерде оким имеется ввиду келеси жылы",21 октября 2025,5,False,16
"Сервера на картошке, портал не открывается, предметы не успеваем брать. Все очень ужасно. И так каждый семестр",21 октября 2025,1,False,45
Научматы топ,21 октября 2025,5,False,1
😍😍😍,20 октября 2025,5,False,1
Асханасы магазині кайф,16 октября 2025,5,False,1
"Дастони, заманаули универ🥰
Жердын быр жерынде орналасканы болмаса((",15 октября 2025,5,False,1
"Учусь здесь, лучший университет в Алмате!",14 октября 2025,5,False,1
"Хизметчиков дофига здесь , хотя в школах запрещены носить платки , паранжа никабы. В универах тоже должен быть запрет на ношение . Если кто против значит не все в порядке увас в семье . Какие то фантазии что ли в голове у этих намазханов , что в увас голове , хинею несете честно",14 октября 2025,1,False,3
Менің өте көп лайк жинаған нашар отзывымды неге өшіріп тастағансыздар?!,13 октября 2025,1,False,7
Шарага,12 октября 2025,1,False,0
Пети из пети,12 октября 2025,5,False,2
каладан келемін деп шаршадым ше,10 октября 2025,3,False,6
Не поступайте сюда,9 октября 2025,1,False,9
"Перестаньте разговаритттс абишками как сиз миз, всегда на ты общаетесь . Потом после универа вас за чморят",9 октября 2025,1,False,1
ь,8 октября 2025,4,False,0
"Приходилось тут быть, вроде все нормально",6 октября 2025,5,False,0
Бир сдудын хизмет тарбиесин еш университет береалмайды 😂,5 октября 2025,4,False,3
хорошое место,4 октября 2025,5,False,1
Просто сыртан көрем,2 октября 2025,3,False,0
"Сду испортился , каждый 5 лет руководство часто меняются , быт турки раньше щас казахи . Такое отношение тебе нужно ты сам здесь ходишь все ищешь , бегать тут никто не будут. Допустим мид провалил , все дальше с учителям не договоришься , поставил не зачет остался на 2 год . Лучше всего перейти в другой универ или искать какие то курсы что бы в жизни не не потеряться",2 октября 2025,1,True,3
The best university 🤍💙🤍,1 октября 2025,5,False,0
💗💕💖💘💝💓💗💞🩷,1 октября 2025,5,False,0
Понравился университет,1 октября 2025,5,False,0
Тема,28 сентября 2025,5,False,0
Не поступил,28 сентября 2025,2,False,13
Топ внутри,28 сентября 2025,5,False,2
Just my university,27 сентября 2025,5,False,0
💙,23 сентября 2025,5,False,0
🤩,23 сентября 2025,5,False,0
synam sduğa 💙,21 сентября 2025,5,False,0
"адам нервсна тиды бари, преподавательдержен бастап окушыларга дейын. никакого уважения! адамга сойлеу былмейды. сдуга тускеным омырымдегы улкен ошибкам. 26+ тулектеры сдуга туспендер вообще, шарага",20 сентября 2025,1,True,5
the BEST!!!!!,19 сентября 2025,5,False,1
Здесь учиться Амерхан😏,19 сентября 2025,5,False,0
IITU☝️☝️☝️☝️🦁,16 сентября 2025,1,False,10
"Как выпускница , хотела бы выразить благодарность и поделиться впечатлениями. Годы учёбы в университете стали для меня одним из самых ярких и значимых периодов жизни. Здесь всегда царила открытая и доброжелательная атмосфера. Руководство и преподаватели были доступны для студентов, что создавало особое ощущение доверия и поддержки. Радостно видеть, что сегодня университет продолжает активно развиваться и укреплять свои позиции. Технические неполадки могут возникнуть в любом месте, но самое важное — это человеческий фактор. Я уверена что именно уважение, внимание и открытость делают университет особенным.
Edufaculty — лучший!
KZL🫶🏻2022",16 сентября 2025,5,True,3
"Ebanutyi универ здесь каждый год цены повышают раньше я оплачивал 750.000 юр факультет , щас стоит 1.300.000 че то перебор , р
Хозяин наверно нажрался и не подавился . Я за эти деньги блин в штаты поехал бы",15 сентября 2025,3,False,4
"Намазханский университет . Не участвуйте не в каких сектах . Не ходите в сохбеты , етиш вот те абишки хорошо умеют промывать вам мозги . Ну зачем вам это. Вы же не loshary мозг есть",15 сентября 2025,1,False,12
KBTU,15 сентября 2025,1,False,14
"школа бизнеса студент Расул
педагогический Балжан очень трудолюбивые ученики",13 сентября 2025,5,False,3
даблю,13 сентября 2025,5,False,0
Тема уник,9 сентября 2025,5,False,7
не советую,8 сентября 2025,1,False,5
😍💔,8 сентября 2025,5,False,0
"Отличный универ,можно сказать ТОП",5 сентября 2025,5,False,2
"Әлі сол расписаниямен проблема.ішіндегі деканатқа барсаң ешқайсы үндемиді ары барыңыздаршы деп,уважение ноль,Студенттерге қызмет көрсету орталығына барсаң ол да сөйлемиді ешқандай сұрағынызгаа жауап бере алмаймын деп,не істейді бұлар сонда ішінде отырып алып әңгіме айтқаннан басқа?",5 сентября 2025,1,False,23
Одни здесь naebwiki,5 сентября 2025,1,False,5
мой незакрытый гештальт💔,4 сентября 2025,5,False,4
"Карьерный центр не отвечает, безответственный универ",4 сентября 2025,1,False,0
"Өте нашар университет
Облыстағы жалғыз университетпіз деп мақтайды
Бірақ ОНАЙ жасамайды қаладан барып келетін оқушылар не істейді сонда
Қанша жыл болды
Осы проблеманы дұрыстай алмай келеді
Админстрация дұрыс жұмыстарын істемейді
Минустары көп университет",4 сентября 2025,1,False,20
SDU ~\(≧▽≦)/~,4 сентября 2025,5,False,0
"Advising desk номеры мулдем алмайды, оффлайн барса комектесе алмайды ешкайсысы. Сагат 08:30 бастап жумыс истейди деп кате корсетилген",4 сентября 2025,2,False,4
"Лагерьге келдім,Айналайын,Осы уневерситетте болдым іші жақсы таза,тамақтарыда дәмді.Осы университетке түскім келеді.Вожатыйлары ұрыссада өте мейірімді.Янчо ағай Арукон апай прямммм күшті вожатыйлар.Тағы барам бұйырса",3 сентября 2025,5,False,0
Жаксы универ бул жерде Ануар Арнур Мади деген сасык балдар окиды 😍 Ануар Легенда оскемена Арнур легенда каскелена Мади легенда Байконыра жерлеч👍🏻😍,3 сентября 2025,5,False,10
"Тысячу раз подумайте прежде чем поступать сюда!!!
Если хотите увидеть, как бюрократия ломает жизни выпускников – вам сюда. Университет совершенно не умеет работать с выпускными документами.

Во-первых, заявку на преждевременное получение дипломов (!) сотрудники умудряются отправлять не через официальные каналы и почты, а… через TELEGRAM. Какой в этом смысл? В результате половина студентов, которые срочно нуждаются в дипломе для визы и учебы за границей, остаются в подвешенном состоянии.

Во-вторых, кураторы ведут себя максимально безответственно: игнорируют сообщения, сбрасывают звонки и даже не могут толком объяснить, что происходит. Если вам нужен хоть какой-то ответ – готовьтесь к футболу между отделами.

Всё держится на “ждите списка”, “не готово”, “мы не можем помочь”. Это при том, что визовые сроки у студентов горят, апостиль занимает недели, а универу на это наплевать.

Upd: student services научитесь поднимать трубку",3 сентября 2025,1,True,20
"лучший универ
минус нервы",3 сентября 2025,5,False,1
Осы универге түсем бұйырсаа,1 сентября 2025,5,False,2
мен жокпын просто сол ушын -1,1 сентября 2025,4,False,1
айналайын🥹❤️,1 сентября 2025,5,False,0
Меня не хватает,29 августа 2025,4,False,1
Норм блай,29 августа 2025,5,False,1
"Уважаемая администрация
Была здесь только 2 дня
Но с едой общаги происходит ужасы
Утром не хватает яйца , каркаде только 1 литр больше их нет мы каждый день из за этого пьём ВОДУ ОТ ТУДА
ТОЛЬКО КАРКАДЕ И ГОРЬКИЙ КОФЕ
За что мы вам платили ?!
Почему напитки и еду не рассматриваете на весь студент в общаге ( вечно что то не хватает)
Приготовьте чай, кофе 3в1 , каркаде и компоты чтоБЫ были полными НИКОМУ НЕ ХВАТАЕТ ЭТОТ ОДИН ЛИТР
СЕРЕЗНЕЕ ОТНОСИТЕСЬ НА ЭТО!",29 августа 2025,1,False,14
самый лучший университет,29 августа 2025,5,False,2
Әдемі,29 августа 2025,5,False,1
Приемная комиссия топ,28 августа 2025,5,False,0
"достаточно косяков, но учиться можно",28 августа 2025,4,False,0
"На магистратуру сюда не поступайте (я сто раз пожалел). Думал AITU ужасный университет. AITU по сравнению с SDU рай на земле. В SDU единственный плюс - красивый кампус. Больше плюсов нет.

Не поднимают трубку и не отвечают по почте. Неадекватный портал, в котором для выбора недоступна половина элективных предметов. И об этом не уведомляют даже за неделю до начала регистрации, а просто ставят перед фактом. Отсутствие лабораторных занятий, из-за чего портал начинает тупить и не дает до конца выбрать единственную доступную для выбора элективку.

В общем одни проблемы. Никто вам не захочет помочь. Все работают по-принципу «лишь бы отстал». У большинства преподавателей низкая квалификация, при этом мнут из себя чуть ли не гениев и вундеркиндов.

Преподаватели опаздывают сами, при этом если ты выходишь на 2 минуты ответить на звонок - тебе ставят «absent» (отсутствие на занятии). И при вопросе объясняют это тем, что за эти две минуты взяли «attendance», несмотря на то, что ты пришел раньше преподавателя и он тебя видел сам.

Оценку могут снизить за то, что преподаватель счел вашу работу «неадекватной». И каких-либо более развернутых ответов вам не дадут.

На retake отправят за превышение 30%-го порога отсутствия на 1%. И никакие просьбы о дополнительных заданиях и сертификаты вам не помогут. Да, это вина самого студента, но тем не менее адекватные преподаватели могут попытаться понять.

Если вы работаете, то этот университет будет вашим худшим выбором. О котором вы будете жалеть все время учебы так же, как и я.",28 августа 2025,1,False,33
0,28 августа 2025,1,False,3
"Заселиллись в общежитие подуставший ремонта не было вообще душно , шкафы не удобные . Туалет не убран с первых дней . В кантин пошли перекусить духота нет вентиляций охлождения можно было предусмотреть в туалетах грязь . Читайте смотрите на замечания людей . Хвалитесь же своей репутацией будьте добры брать во внимание , а не как будто не видите себя со стороны.",27 августа 2025,1,True,3
Классный ВУЗ!!!,27 августа 2025,5,False,0
Норм👍👍👍👍,27 августа 2025,5,False,0
the best alma mater eveeeer🤍,26 августа 2025,5,False,0
Бізге де бұйырсын грант,25 августа 2025,5,False,0
"Ужасный сервис просто , звали из Астаны но не приняли, высокомерные .",25 августа 2025,1,False,5
Очень красивое университет,23 августа 2025,5,False,0
по блату,22 августа 2025,5,False,0
"Amazing uni campus. Friendly staff. A little far from the city though, but worth. They do teach in English.",21 августа 2025,5,False,11
Сердешко яойкает от люпимого сду🥺🥺🥺🥺🥺🥺,21 августа 2025,5,False,1
😍,21 августа 2025,5,False,0
"СДУ так не нравится правда, что решили заблокировать мой предыдущий комментарий))
Отпишусь только по своему факультету. Поступала в филологический, 2 иностранных языка, специальность - учитель. И казалось бы, ты будешь ожидать кучу профессионалов своего дела, в итоги только 2-3 учителей действительно хорошо делали своё дело, а именно заинтересовывали в своем предмете, давали нужные знания, УЧИЛИ быть УЧИТЕЛЕМ. Остальные все, а именно 90% преподавателей не понимали толком какой материал они преподносят студентам. Методики которые якобы они нам объясняли не применялись ими на лекциях вовсе. Внутренности изучаемых материалов не соответствовало нужным требованиям для изучения преподавательского дела. Качество знаний в этом университете очень низкое, и не соответствует ценам. Добавлю еще что есть учителя отдающие предпочтение мужскому полу, а не женскому (Тут тугис решил что я оскорбляю)

ЧР, бухгалтерия как и отписались ниже не работают. Я соглашусь со всеми негативными отзывами касательно департаментов, которые должны помогать студентам с вопросами документов, оплаты и т.д. Получаемые справки и документы не принимаются другими университетами. Я не могла перевестись из-за того что СДУ не корректно оформляли мою справку.

Касательно сект, это правда. Очень много студентов были завербованы фанатиками, а делают они это всё через абишек, кураторов, маклюбе тусовок, и т.д. И что самое смешное, у студентов вступившие в эти секты поддержки больше чем у обычных. Вот тебе и коррупция, у этих студентов и оценки лучше, и даже если Fail получили, тебя твой куратор прикроет, и поможет с оценками)) А вот если обычный студент вдруг завалил предмет, он будет как положено повторно сдавать его.

Не рекомендую поступать в этот университет. Есть множество вариантов по лучше, где и знания хорошие, и учителя знают что преподают и свой материал.",21 августа 2025,1,True,31
"Лучшая атмосфера, все имеется что желаешь для учебы, чистота и порядок, уютно, современный дизайн, качественное обучение!",21 августа 2025,5,True,0
the best❤️,20 августа 2025,5,False,0
my university ❤️‍🔥,19 августа 2025,5,False,0
Прямм слов нетуу😍😍,19 августа 2025,5,False,0
🤯🤯🤯,18 августа 2025,5,False,0
❤️❤️❤️,17 августа 2025,5,False,0
